,page,country,rev_id,prediction,Geography,Population mid-2018 (millions)
1,Information Minister of the Palestinian National Authority,Palestinian Territory,393276188,Stub,,
3,Julius Gregr,Czech Republic,395521877,Stub,,
4,Edvard Gregr,Czech Republic,395526568,Stub,,
19,Presidents of the General Council of French Guiana,French Guiana,546364151,Stub,,
31,Timoteo Menéndez,Salvadoran,566504165,Start,,
33,Gervas Clay,Rhodesian,574571582,Stub,,
36,Mavua Mudima,"Congo, Dem. Rep. of",592289232,Stub,,
38,Finance Minister of the Palestinian National Authority,Palestinian Territory,596181202,Start,,
71,Planning Minister of the Palestinian National Authority,Palestinian Territory,633612729,Start,,
80,"List of members of the parliament of East Timor, 2001–07",East Timorese,638566016,Start,,
92,"List of members of the Løgting, 1974–78",Faroese,643932216,Start,,
93,"List of members of the Løgting, 1978–80",Faroese,643932220,Start,,
94,"List of members of the Løgting, 1980–84",Faroese,643932225,Start,,
95,"List of members of the Løgting, 1984–88",Faroese,643932226,Start,,
96,"List of members of the Løgting, 1990–94",Faroese,643932239,Start,,
97,"List of members of the Løgting, 1994–98",Faroese,643932242,Start,,
103,James Bisset (mayor),Cape Colony,647367482,Start,,
113,Augustus Joseph Tancred,Cape Colony,651250302,Stub,,
116,Johan Conrad Silberbauer,Cape Colony,653467222,Stub,,
135,List of provincial governors of the Democratic Republic of the Congo,"Congo, Dem. Rep. of",663088604,Stub,,
137,"List of members of the National Assembly (South Korea), 1950–54",South Korean,663348266,Stub,,
149,James Cotterell Hoole,Cape Colony,666596918,Stub,,
165,Harry Davies (politician),Rhodesian,669387487,Start,,
182,Patrick Goold,Cape Colony,670210734,Start,,
206,Toluono Feti,Samoan,671515606,Stub,,
221,Miroslav Poche,Czech Republic,672862914,Stub,,
222,Vojtěch Mynář,Czech Republic,673008587,Stub,,
227,Speaker of the Legislative Assembly of Montserrat,Montserratian,674919905,Stub,,
242,Andries Botha,Cape Colony,676828191,B,,
264,Joaquín Escolán y Balibrera,Salvadoran,679294949,Stub,,
276,Charles William Hutton,Cape Colony,680205631,C,,
278,Chairman of the Island Council (Pitcairn),Pitcairn Islands,680532939,Stub,,
286,Hossam Arafat (politician),Palestinian Territory,680933208,Stub,,
293,William Fairbridge,Rhodesian,682576258,Start,,
332,Earl Asim Martin,Saint Kitts and Nevis,687127320,Stub,,
397,John Blades Currey,Cape Colony,693624260,Stub,,
410,Zaur Avidzba,Abkhazia,694519009,Start,,
510,"List of members of the Løgting, 1998–2002",Faroese,698865505,Start,,
582,José Abel,East Timorese,699698855,Stub,,
600,Tórbjørn Poulsen,Faroese,700400143,Stub,,
615,Tawfik Tirawi,Palestinian Territory,701106976,Start,,
625,Demmus Hentze,Faroese,701771698,Start,,
656,Young Vivian,Niuean,703037968,Start,,
675,Noel Ahipeaud,Ivorian,703133769,Stub,,
679,Claude Lise,Martinique,703216645,Stub,,
706,Simon Jenko,Carniolan,703436823,Start,,
709,Park In-won,South Korean,703478926,Stub,,
728,Paul Southwell,Saint Kitts and Nevis,703666654,Start,,
737,Petrus Compton,Saint Lucian,703819839,Stub,,
758,Jan Malypetr,Czech Republic,704424304,Stub,,
794,Thomas François Burgers,South African Republic,704636517,C,,
804,Céleo Arias,Hondura,704789339,Stub,,
823,James Ah Koy,Samoan,704919844,B,,
827,Zaur Ardzinba,Abkhazia,704938340,Start,,
840,Emanuel Moravec,Czech Republic,705080136,Start,,
858,Va'aelua Eti Alesana,Samoan,705218371,Start,,
887,Juan Francisco de Molina,Hondura,705346284,Stub,,
888,Felipe Neri Medina,Hondura,705346304,Stub,,
889,Mariano Garrigó,Hondura,705346378,Stub,,
890,José María Bustillo (Honduran),Hondura,705346396,Stub,,
891,Francisco Gómez (acting president),Hondura,705346462,Stub,,
892,Salvador Aguirre (Honduras),Hondura,705346724,Stub,,
893,Francisco Bográn,Hondura,705346741,Stub,,
915,Fermín Palacios,Salvadoran,705353491,Stub,,
916,Eugenio Aguilar,Salvadoran,705353565,Stub,,
917,Tomás Medina,Salvadoran,705353584,Stub,,
918,Ramón Rodríguez (Salvadoran politician),Salvadoran,705353647,Stub,,
919,Vicente Gómez,Salvadoran,705353678,Stub,,
920,Lorenzo Zepeda,Salvadoran,705353843,Stub,,
921,José María Peralta,Salvadoran,705353896,Stub,,
922,Francisco Menéndez,Salvadoran,705353975,Stub,,
923,Pedro José Escalón,Salvadoran,705354095,Stub,,
924,Fernando Figueroa,Salvadoran,705354112,Stub,,
925,Carlos Meléndez (politician),Salvadoran,705354212,Stub,,
942,Fabio Castillo Figueroa,Salvadoran,705385310,Stub,,
944,Eugène Diomi Ndongala Nzomambu,"Congo, Dem. Rep. of",705390654,Stub,,
956,President of the General Council of Martinique,Martinique,705428274,Stub,,
992,Théophile Mbemba Fundu,"Congo, Dem. Rep. of",705707214,Stub,,
994,Ntumba Luaba,"Congo, Dem. Rep. of",705723187,Start,,
995,Myra Ndjoku Manianga,"Congo, Dem. Rep. of",705723441,Stub,,
1056,Misa Telefoni Retzlaff,Samoan,706207837,Start,,
1152,Isam al-Qadi,Palestinian Territory,706650943,Stub,,
1167,Ricardo Montenegro,Salvadoran,706769596,Stub,,
1168,Vicente Flores,Incan,706771757,Stub,,
1181,Luagalau Levaula Kamu,Samoan,706804758,Stub,,
1191,Leafa Vitale,Samoan,706837234,Stub,,
1258,Khozh-Ahmed Noukhayev,Chechen,707217873,C,,
1300,Rafael Campo,Salvadoran,707399758,Start,,
1301,Miguel Santín del Castillo,Salvadoran,707400213,Stub,,
1302,Osmín Aguirre y Salinas,Salvadoran,707403482,Stub,,
1303,Eusebio Rodolfo Cordón Cea,Salvadoran,707404888,Stub,,
1318,Juan José Guzmán,Salvadoran,707519272,Stub,,
1320,Niko Lee Hang,Samoan,707525246,Stub,,
1321,Tuu'u Anasi'i Leota,Samoan,707525315,Stub,,
1332,Vladimír Hučín,Czech Republic,707597623,Start,,
1342,Hussein al-Araj,Palestinian Territory,707669406,Stub,,
1349,Tuiloma Pule Lameko,Samoan,707750982,Stub,,
1356,Juan Ramón Salgado,Hondura,707824636,Stub,,
1380,André-Philippe Futa,"Congo, Dem. Rep. of",708009445,Start,,
1395,Juan José Cañas,Salvadoran,708089470,Stub,,
1419,Mohammad Barghouti,Palestinian Territory,708269321,Stub,,
1427,Gérard Gifuza,"Congo, Dem. Rep. of",708358969,Stub,,
1428,Koloso Sumaili,"Congo, Dem. Rep. of",708359204,Stub,,
1492,Ahmed Khalidi,Palestinian Territory,708495719,Stub,,
1515,Tuo Fozié,Ivorian,708711840,Start,,
1516,Terry Le Main,Jersey,708727189,Start,,
1517,Paul Routier,Jersey,708727221,Start,,
1527,Mike Vibert,Jersey,708766654,Start,,
1533,Health Minister of the Palestinian National Authority,Palestinian Territory,708817890,Stub,,
1561,Lee Moore (politician),Saint Kitts and Nevis,709078753,Stub,,
1562,Joseph Parry (politician),Saint Kitts and Nevis,709078817,Start,,
1633,Qais Abd al-Karim,Palestinian Territory,709529097,Stub,,
1635,Mahmoud Aloul,Palestinian Territory,709567584,Stub,,
1654,Pavla Topolánková,Czech Republic,709676840,Start,,
1695,Harold Dalson,Saint Lucian,709912281,Stub,,
1696,Keith Mondesir,Saint Lucian,709912316,B,,
1697,Rufus Bousquet,Saint Lucian,709914459,Start,,
1716,Victor Batarseh,Palestinian Territory,709994434,Stub,,
1739,Hanna Nasser (academic),Palestinian Territory,710133339,Start,,
1775,Sean Power (Jersey),Jersey,710334019,Stub,,
1786,Anastas Hanania,Palestinian Territory,710390049,Start,,
1799,Robert James Dugu Gordon,Saint Kitts and Nevis,710428915,Stub,,
1806,Leonard Norman,Jersey,710503170,Start,,
1821,José Gregorio Salazar,Salvadoran,710543364,Start,,
1823,Mike Torode,Guernsey,710546915,Stub,,
1827,Diego Vigil Cocaña,Salvadoran,710555824,Start,,
1830,Nicolás Espinoza,Salvadoran,710578840,Start,,
1832,Léon Emmanuel Monnet,Ivorian,710585105,Stub,,
1837,Juan José Alvarado,Hondura,710598059,Stub,,
1859,Joudeh George Murqos,Palestinian Territory,710676772,Stub,,
1860,Pedro Barriere,Salvadoran,710677703,Start,,
1884,Joaquín de San Martín,Salvadoran,710828020,Start,,
1917,Ali al-Sartawi,Palestinian Territory,710990363,Stub,,
1953,Juan Ángel Almendares Bonilla,Hondura,711170881,Stub,,
2000,Washington Malianga,Rhodesian,711506001,Stub,,
2013,Josef Barák,Czech Republic,711675761,Stub,,
2095,Ronald Snapper,Rhodesian,712233907,Stub,,
2098,Rogerio Lobato,East Timorese,712249441,Start,,
2107,Jamal Tirawi,Palestinian Territory,712310215,Start,,
2131,Antonín Švehla,Czech Republic,712426548,Stub,,
2197,Peter Waterworth,Montserratian,712713704,Stub,,
2329,Pierre Djédji Amondji,Ivorian,713176326,Stub,,
2332,Célestin Cibalonza Byaterana,"Congo, Dem. Rep. of",713195149,Stub,,
2334,Emmanuel Leku Apuobo,"Congo, Dem. Rep. of",713198718,Stub,,
2336,Samir Abu Eisheh,Palestinian Territory,713203735,Stub,,
2365,Henri Beaujean,Guadeloupe,713324685,Stub,,
2380,Diabete Aboubacar Siriki,Ivorian,713381693,Stub,,
2413,Sami Taha,Palestinian Territory,713505054,Start,,
2426,Kisula Ngoy,"Congo, Dem. Rep. of",713583472,Stub,,
2447,Jakob Marzel Sternberger,Czech Republic,713698544,Stub,,
2452,Ivan Hribar,Carniolan,713766077,C,,
2492,Jean Maran,Martinique,713974388,Stub,,
2509,Andrias Christian Evensen,Faroese,714088539,Start,,
2517,Jean Collins Musonda Kalusambo,"Congo, Dem. Rep. of",714150941,Stub,,
2523,Alois Anderka,Czech Republic,714174726,Stub,,
2524,Ayyub Musallam,Palestinian Territory,714176771,Stub,,
2526,Hajj Essa Hamed,Palestinian Territory,714181175,Stub,,
2528,Auguste Denise,Ivorian,714183793,Stub,,
2532,Philippe Yacé,Ivorian,714200423,Stub,,
2534,Hasan Tahboub,Palestinian Territory,714208891,Stub,,
2541,Denis Kalume Numbi,"Congo, Dem. Rep. of",714220527,Start,,
2547,Laauli Leuatea Polataivao,Samoan,714244543,Stub,,
